"","KO","names","Pathway"
"595","K00859","dephospho-CoA kinase [EC:2.7.1.24]","Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis"
"596","K00860","adenylylsulfate kinase [EC:2.7.1.25]","Metabolism; Energy metabolism; Sulfur metabolism | Metabolism; Nucleotide metabolism; Purine metabolism"
"597","K00862","erythritol kinase (D-erythritol 1-phosphate-forming) [EC:2.7.1.215]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"598","K00863","triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism | Organismal Systems; Immune system; RIG-I-like receptor signaling pathway"
"599","K00864","glycerol kinase [EC:2.7.1.30]","Metabolism; Lipid metabolism; Glycerolipid metabolism | Organismal Systems; Endocrine system; PPAR signaling pathway | Organismal Systems; Environmental adaptation; Plant-pathogen interaction | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"600","K00865","glycerate 2-kinase [EC:2.7.1.165]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"601","K00867","type I pantothenate kinase [EC:2.7.1.33]","Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis"
"602","K00868","pyridoxine kinase [EC:2.7.1.35]","Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism"
"603","K00869","mevalonate kinase [EC:2.7.1.36]","Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis | Cellular Processes; Transport and catabolism; Peroxisome"
"604","K00870","protein kinase [EC:2.7.1.37]","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Signaling proteins"
"605","K00872","homoserine kinase [EC:2.7.1.39]","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"606","K00873","pyruvate kinase [EC:2.7.1.40]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Nucleotide metabolism; Purine metabolism | Organismal Systems; Endocrine system; Glucagon signaling pathway | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer | Human Diseases; Cancers: Overview; Viral carcinogenesis | Human Diseases; Endocrine and metabolic diseases; Type II diabetes mellitus | Human Diseases; Infectious diseases: Viral; Human papillomavirus infection | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"607","K00874","2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway"
"608","K00875","D-ribulokinase [EC:2.7.1.47]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions"
"609","K00876","uridine kinase [EC:2.7.1.48]","Metabolism; Nucleotide metabolism; Pyrimidine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes"
"610","K00878","hydroxyethylthiazole kinase [EC:2.7.1.50]","Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism"
"611","K00879","L-fuculokinase [EC:2.7.1.51]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism"
"612","K00880","L-xylulokinase [EC:2.7.1.53]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism"
"613","K00881","allose kinase [EC:2.7.1.55]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism"
"614","K00882","1-phosphofructokinase [EC:2.7.1.56]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism"
"615","K00883","2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]","Metabolism; Carbohydrate metabolism; Galactose metabolism"
"616","K00884","N-acetylglucosamine kinase [EC:2.7.1.59]","Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism"
"617","K00885","N-acylmannosamine kinase [EC:2.7.1.60]","Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism"
"618","K00886","polyphosphate glucokinase [EC:2.7.1.63]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism"
"619","K00887","undecaprenol kinase [EC:2.7.1.66]","Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis"
"620","K00889","1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]","Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism | Environmental Information Processing; Signal transduction; MAPK signaling pathway - yeast | Environmental Information Processing; Signal transduction; Phosphatidylinositol signaling system | Environmental Information Processing; Signal transduction; Phospholipase D signaling pathway | Cellular Processes; Transport and catabolism; Endocytosis | Cellular Processes; Transport and catabolism; Mitophagy - yeast | Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Organismal Systems; Immune system; Fc gamma R-mediated phagocytosis | Human Diseases; Cancers: Overview; Choline metabolism in cancer | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking"
"621","K00891","shikimate kinase [EC:2.7.1.71]","Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
"622","K00892","inosine kinase [EC:2.7.1.73]","Metabolism; Nucleotide metabolism; Purine metabolism"
"623","K00893","deoxycitidine kinase [EC:2.7.1.74]","Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Nucleotide metabolism; Pyrimidine metabolism"
"624","K00894","ethanolamine kinase [EC:2.7.1.82]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism"
"625","K00895","diphosphate-dependent phosphofructokinase [EC:2.7.1.90]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism"
"626","K00897","kanamycin kinase [EC:2.7.1.95]","Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes"
"627","K00899","5-methylthioribose kinase [EC:2.7.1.100]","Metabolism; Amino acid metabolism; Cysteine and methionine metabolism"
"628","K00901","diacylglycerol kinase (ATP) [EC:2.7.1.107]","Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Lipid metabolism; Glycerophospholipid metabolism | Environmental Information Processing; Signal transduction; Phosphatidylinositol signaling system | Environmental Information Processing; Signal transduction; Phospholipase D signaling pathway | Human Diseases; Cancers: Overview; Choline metabolism in cancer"
"629","K00903","protein-tyrosine kinase [EC:2.7.10.2]","Brite Hierarchies; Protein families: metabolism; Protein kinases"
"630","K00906","isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"631","K00912","tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]","Metabolism; Glycan biosynthesis and metabolism; Lipopolysaccharide biosynthesis | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins"
"632","K00917","tagatose 6-phosphate kinase [EC:2.7.1.144]","Metabolism; Carbohydrate metabolism; Galactose metabolism"
"633","K00918","ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Energy metabolism; Methane metabolism"
"634","K00919","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]","Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis"
"635","K00925","acetate kinase [EC:2.7.2.1]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Metabolism of other amino acids; Taurine and hypotaurine metabolism"
"636","K00926","carbamate kinase [EC:2.7.2.2]","Metabolism; Energy metabolism; Nitrogen metabolism | Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Amino acid metabolism; Arginine biosynthesis"
"637","K00927","phosphoglycerate kinase [EC:2.7.2.3]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"638","K00928","aspartate kinase [EC:2.7.2.4]","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Lysine biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis"
"639","K00929","butyrate kinase [EC:2.7.2.7]","Metabolism; Carbohydrate metabolism; Butanoate metabolism"
"640","K00930","acetylglutamate kinase [EC:2.7.2.8]","Metabolism; Amino acid metabolism; Arginine biosynthesis"
"641","K00931","glutamate 5-kinase [EC:2.7.2.11]","Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Biosynthesis of other secondary metabolites; Carbapenem biosynthesis"
"642","K00932","propionate kinase [EC:2.7.2.15]","Metabolism; Carbohydrate metabolism; Propanoate metabolism"
"643","K00936","two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]","Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system"
"644","K00937","polyphosphate kinase [EC:2.7.4.1]","Metabolism; Energy metabolism; Oxidative phosphorylation | Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis"
"645","K00938","phosphomevalonate kinase [EC:2.7.4.2]","Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis"
"646","K00939","adenylate kinase [EC:2.7.4.3]","Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"647","K00940","nucleoside-diphosphate kinase [EC:2.7.4.6]","Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Nucleotide metabolism; Pyrimidine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Environmental Information Processing; Signal transduction; MAPK signaling pathway - plant | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking"
"648","K00941","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]","Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism"
"649","K00942","guanylate kinase [EC:2.7.4.8]","Metabolism; Nucleotide metabolism; Purine metabolism"
"650","K00943","dTMP kinase [EC:2.7.4.9]","Metabolism; Nucleotide metabolism; Pyrimidine metabolism"
"651","K00945","CMP/dCMP kinase [EC:2.7.4.25]","Metabolism; Nucleotide metabolism; Pyrimidine metabolism"
"652","K00946","thiamine-monophosphate kinase [EC:2.7.4.16]","Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism"
"653","K00947","molybdenum storage protein","Not Included in Pathway or Brite; Unclassified: metabolism; Energy metabolism"
"654","K00948","ribose-phosphate pyrophosphokinase [EC:2.7.6.1]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Nucleotide metabolism; Purine metabolism"
"655","K00949","thiamine pyrophosphokinase [EC:2.7.6.2]","Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism"
"656","K00950","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]","Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis"
"657","K00951","GTP pyrophosphokinase [EC:2.7.6.5]","Metabolism; Nucleotide metabolism; Purine metabolism"
"658","K00952","nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1]","Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism"
"659","K00953","FAD synthetase [EC:2.7.7.2]","Metabolism; Metabolism of cofactors and vitamins; Riboflavin metabolism"
"660","K00954","pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]","Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis"
"661","K00955","bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]","Metabolism; Energy metabolism; Sulfur metabolism | Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Metabolism of other amino acids; Selenocompound metabolism | Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis"
"662","K00956","sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]","Metabolism; Energy metabolism; Sulfur metabolism | Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Metabolism of other amino acids; Selenocompound metabolism | Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis"
"663","K00957","sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]","Metabolism; Energy metabolism; Sulfur metabolism | Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Metabolism of other amino acids; Selenocompound metabolism | Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis"
"664","K00958","sulfate adenylyltransferase [EC:2.7.7.4]","Metabolism; Energy metabolism; Sulfur metabolism | Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Metabolism of other amino acids; Selenocompound metabolism | Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis"
"665","K00960","DNA-directed RNA polymerase [EC:2.7.7.6]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"666","K00962","polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]","Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"
